event_number,event_text,predicted_label,confidence,pos_score,neu_score,neg_score,valence_event_continuous,arousal_event_score
1,"One hand, one heart, even death won't part us now. Those dreamy lyrics from West Side Story sound like a promise, don't they? A vowing of undying love between two star crossed lovers, played to perfection, a Richard Bamer, and Natalie Wood. Together they became the faces of one of Hollywood's most iconic musicals, leaving audiences in awe for generations.",positive,0.6,0.6,0.4,0,0.6,0.6
2,"But here's the kicker. If anyone needed a little undying love, or heck maybe even just a hug, it was Natalie Wood. Beneath the glitz and the glamour, her life was more tragic backstory than fairy tale ending.",negative,0.6,0,0.4,0.6,-0.6,0.6
3,"Born in 1938 in San Francisco, Natalie Wood entered the world with stars practically stitched into her baby blanket, and a family ready to cash in on them. Her parents, Nikolai and Maria Zakarinko, were Russian immigrants chasing the ever-illusive American dream.",positive,0.5,0.5,0.4,0.1,0.4,0.6
4,Unfortunately their dream came with a catch. They were pretty sure their ticket to success was wrapped up in their talented little daughter.,negative,0.6,,0.4,0.6,-0.6,0.6
5,"By the time Natalie was four, she was trotted off to work in front of the camera, perfecting her doe-eyed innocence while her dad perfected his drinking habit. Meanwhile, her mom Maria was less supportive cheerleader and more strict Soviet drill sergeant.",negative,0.6,,0.4,0.6,-0.6,0.6
6,"Keeping Natalie and her sisters on a schedule so tight, it could have been designed by a bond villain. Maria even added a little flair by scaring the daylights out of them at every single opportunity.",negative,0.7,,0.3,0.7,-0.7,0.7
7,"Fun childhood, right? Here's where strict parenting veered into the straight up bizarre.",neutral,0.8,,0.8,0.2,-0.2,0.2
8,"After a gypsy fortune teller warned Maria that one of her daughters would die in dark open water, she turned the family home into a live action final destination. The unlucky doomed daughter, Natalie, their golden goose and Maria's retirement plan. Growing up under this prophecy was anything but idealic. Natalie avoided water like she was cursed. Even steering clear of the backyard pool she'd one day own in her Hollywood hay day, a glamorous starlit with a fear of her own luxury.",negative,0.7,,0.3,0.7,-0.7,0.7
9,"Dramatic? Sure, but when your mom acts like Poseidon's got your number, the deep end is off limits.",neutral,0.8,,0.8,0.2,-0.2,0.2
10,"Still, Natalie's on-screen presence was pure sunshine. Soft, warm and captivating, she dazzled audiences and became a household name by her teens. Girls across America didn't just admire her, they wanted to be her, perfect hair and all.",positive,0.7,0.7,0.3,,0.7,0.7
11,"Time wasn't on Natalie's side, and the injenue act couldn't last forever.",neutral,0.6,,0.6,0.4,-0.4,0.4
12,"Enter, rebel without a cause. As Judy, a rebellious teen stirring the pots, Natalie shed her innocent image and stepped into the role light years from her real life personality. Sharing the screen with James Dean, she proved she was more than a sweet face.",positive,0.6,0.6,0.4,,0.6,0.6
13,"This was her transformation. Hollywood had boxed her in for years, but with one defiant role, Natalie broke free. Audiences could not get enough.",positive,0.7,0.7,0.3,,0.7,0.7
14,"As she grew into a Hollywood icon, her talent only deepened. Eleven Academy Award nominations later, with ten wins under her belt, Natalie Wood wasn't just a star, she was THE star. Her life sparkled like a fairy tale.",positive,0.9,0.9,0.1,,0.9,0.9
15,"But fairy tales gloss over the ugly truths. Beneath Hollywood's glittering veneer lay a far darker story, one the cameras didn't capture.",negative,0.6,,0.4,0.6,-0.6,0.6
16,"By this time, Natalie's father, Nikolai, had fully embraced his role as the family drunk, a position he held with alarming dedication. His drinking soon turned violent, adding another layer of chaos to an already oppressive household.",negative,0.6,,0.4,0.6,-0.6,0.6
17,"Meanwhile, Maria was still in charge, running the show with an iron fist and a steady stream of terrifying prophecy reminders, because nothing says family bonding, like ominous predictions about your watery demise.",negative,0.6,,0.4,0.6,-0.6,0.6
18,"For Natalie, there was no escape. At home, her parents manipulated her every move, ensuring the money kept pouring in. On set, directors used their own brand of coercion to squeeze out the perfect performance. Wherever she went, Natalie was boxed in by people who saw her as a means to an end rather than a person. It wasn't just control, it was soul crushing, and Natalie had nowhere to turn.",negative,0.7,,0.3,0.7,-0.7,0.7
19,"From an early age, Natalie learned to see danger everywhere. Not the playful, under the bed kind, but real, tangible threats no one protected her from. Instead of shielding her, those around Natalie often nudged, sometimes shoved, her straight into harm's way.",negative,0.6,,0.4,0.6,-0.6,0.6
20,"At home, some dangers were oddly comforting, like her doll collection, which came alive to keep her company. It's cute until you realize that's just lonely child code for ""I had no one else.""",negative,0.6,,0.4,0.6,-0.6,0.6
21,"But the more sinister dangers, those were very real, lurking beyond her understanding, waiting to strike.",negative,0.6,,0.4,0.6,-0.6,0.6
22,"By 15, Natalie's life became a full-blown Hollywood soap opera. When she came home with big news, her high school sweetheart had proposed, she'd said, ""Yes,"" she probably expected congratulations.",positive,0.7,0.7,0.1,0.2,0.5,0.9
23,"Instead, she got Maria's wrath, a level of fury that could have made the devil himself take notes.",negative,0.7,,0.3,0.7,-0.7,0.7
24,"Maria wasn't just angry, she was calculating. To her, Natalie's high school Romeo wasn't just a distraction, he was a threat to her iron grip on Natalie's career and the family's golden ticket.",negative,0.7,,0.3,0.7,-0.7,0.7
25,"Worse, Maria had already someone else in mind for her daughter. Frank Sinatra. Old blue eyes himself, a man not only old enough to be Natalie's father, but with cufflinks likely older than her teenage fiance.",negative,0.7,,0.3,0.7,-0.7,0.7
26,"For Maria, love was irrelevant when her career connections were on the line. According to a book by Frank Sinatra's former right-hand man, George Jacobs, Maria wasn't just overbearing, she was downright exploitive.",negative,0.6,,0.4,0.6,-0.6,0.6
27,"She orchestrated what can only be described as a sleazy Hollywood audition, dragging Natalie to Sinatra's home under the guise of a casual meeting. The unspoken plan to deliver her underage daughter on a silver platter, ensuring Sinatra got what he wanted without the messy business of legal trouble.",negative,0.7,,0.3,0.7,-0.7,0.7
28,"Maria, ever the master manipulator, had already set the stage. She forced Natalie to end her engagement with her high school sweetheart, dressed her in a tight black party dress, and practically delivered her into Sinatra's lap. And Sinatra, a man not exactly famous for his restraint didn't hesitate to play along. Just like that, Natalie found herself ensnared and yet another web of exploitation.",negative,0.8,,0.2,0.8,-0.8,0.8
29,"Meanwhile, her ex-Fiance, heartbroken and blind sighted, was left in emotional ruins. The devastation was so profound that he attempted to take his own life. Yet another tragic consequence of Maria's ruthless schemes.",negative,0.9,,0.1,0.9,-0.9,0.9
30,"From then on, Natalie's life included a shadowy entourage, Sinatra's men, who followed her under the guise of protection.",negative,0.6,,0.4,0.6,-0.6,0.6
